,George:unzip_reference,George:makeBWAIndex,George:makeBT2Index,George:makeFastaIndex,George:makeSeqDict,George:convertBam,George:indexinputbam,George:fastqc,George:fastp,George:adapter_removal,George:post_ar_fastq_trimming,George:lanemerge,George:lanemerge_hostremoval_fastq,George:fastqc_after_clipping,George:bwa,George:bwamem,George:circulargenerator,George:circularmapper,George:bowtie2,George:hostremoval_input_fastq,George:seqtype_merge,George:samtools_flagstat,George:samtools_filter,George:samtools_flagstat_after_filter,George:endorSpy,George:dedup,George:markduplicates,George:library_merge,George:preseq,George:bedtools,George:damageprofiler,George:mapdamage_rescaling,George:pmdtools,George:bam_trim,George:additional_library_merge,George:qualimap,George:genotyping_ug,George:genotyping_hc,George:genotyping_freebayes,George:genotyping_pileupcaller,George:eigenstrat_snp_coverage,George:genotyping_angsd,George:bcftools_stats,George:vcf2genome,George:multivcfanalyzer,George:mtnucratio,George:sexdeterrmine_prep,George:sexdeterrmine,George:nuclear_contamination,George:print_nuclear_contamination,George:metagenomic_complexity_filter,George:malt,George:maltextract,George:decomp_kraken,George:kraken,George:kraken_parse,George:kraken_merge,George:output_documentation,George:get_software_versions,George:multiqc
George:get_test_data,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
George:data_integrity,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.75,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.75,0.75,0.75,0.4285714285714286,0.33333333333333337,0.75,0.75,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.0,0.1071428571428571
George:q2_import,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.2857142857142857,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.6666666666666667,0.5,1.0,0.5,0.5,1.0,0.0,0.0714285714285714
George:q2_cutadapt,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.25,0.25,0.25,0.1428571428571429,1.0,0.25,0.25,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.33333333333333337,1.0,0.5,1.0,1.0,0.5,0.0,0.0357142857142857
George:q2_dada2,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.2857142857142857,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.6666666666666667,0.5,1.0,0.5,0.5,1.0,0.0,0.0714285714285714
George:q2_dbotu3,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.75,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.75,0.75,0.75,0.4285714285714286,0.33333333333333337,0.75,0.75,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.0,0.1071428571428571
George:q2_dada2_merge,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.75,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.75,0.75,0.75,0.4285714285714286,0.33333333333333337,0.75,0.75,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.0,0.1071428571428571
George:q2_taxonomy,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.2857142857142857,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.6666666666666667,0.5,1.0,0.5,0.5,1.0,0.0,0.0714285714285714
George:q2_filtering_tax,0.0,0.4,0.4,0.4,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.4,0.4,0.19999999999999996,0.8,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.4,0.4,0.4,0.4,0.19999999999999996,0.19999999999999996,0.4,0.8,0.8,0.8,0.7142857142857143,0.19999999999999996,0.8,0.8,0.4,0.4,0.19999999999999996,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.4,0.6,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.4,0.0,0.1785714285714286
George:microDecon_step1,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.25,0.25,0.25,0.1428571428571429,1.0,0.25,0.25,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.33333333333333337,1.0,0.5,1.0,1.0,0.5,0.0,0.0357142857142857
