creation_date,nextflow,snakemake,total_nextflow,total_snakemake
2014,0,8,0,8
2015,0,21,0,29
2016,0,69,0,98
2017,25,131,25,229
2018,179,264,204,493
2019,392,352,596,845
2020,464,478,1060,1323
2021,592,478,1652,1801
2022,137,106,1789,1907
